user,task,age,gender,student,course_participant,experiment,status,hover,click,time,queries
1,1,23,Female,Yes,Yes,1,1,4,1,17,1
1,2,23,Female,Yes,Yes,1,1,3,1,20,1
1,3,23,Female,Yes,Yes,1,1,1,1,19,1
1,4,23,Female,Yes,Yes,1,1,1,1,5,1
1,5,23,Female,Yes,Yes,1,1,1,1,5,1
1,6,23,Female,Yes,Yes,1,1,57,4,236,6
1,7,23,Female,Yes,Yes,1,1,5,2,24,1
1,8,23,Female,Yes,Yes,1,1,1,0,5,1
1,9,23,Female,Yes,Yes,1,1,7,2,29,1
1,10,23,Female,Yes,Yes,1,1,1,1,17,1
1,11,23,Female,Yes,Yes,1,1,1,0,4,1
1,12,23,Female,Yes,Yes,1,1,1,1,7,1
1,13,23,Female,Yes,Yes,1,1,9,2,21,1
1,14,23,Female,Yes,Yes,1,1,14,3,52,2
3,1,30,Female,No,No,1,1,0,0,12,1
3,2,30,Female,No,No,1,1,9,0,12,1
3,3,30,Female,No,No,1,1,0,0,2,1
3,4,30,Female,No,No,1,1,0,0,4,1
3,5,30,Female,No,No,1,1,0,0,2,1
3,6,30,Female,No,No,1,1,0,0,1,1
3,7,30,Female,No,No,1,1,0,0,1,1
3,8,30,Female,No,No,1,1,0,0,1,1
3,9,30,Female,No,No,1,1,0,0,1,1
3,10,30,Female,No,No,1,1,0,0,1,1
3,11,30,Female,No,No,1,1,0,0,3,1
3,12,30,Female,No,No,1,1,0,0,1,1
3,13,30,Female,No,No,1,1,0,0,1,1
3,14,30,Female,No,No,1,1,0,0,1,1
4,1,26,Female,Yes,Yes,4,1,10,1,29,2
4,2,26,Female,Yes,Yes,4,1,6,2,23,1
4,3,26,Female,Yes,Yes,4,1,1,0,12,1
4,4,26,Female,Yes,Yes,4,1,1,1,5,1
4,5,26,Female,Yes,Yes,4,1,2,2,11,1
4,6,26,Female,Yes,Yes,4,0,11,2,111,3
4,7,26,Female,Yes,Yes,4,0,38,1,175,4
4,8,26,Female,Yes,Yes,4,1,15,0,42,2
4,9,26,Female,Yes,Yes,4,1,7,0,33,1
4,10,26,Female,Yes,Yes,4,1,1,0,24,1
4,11,26,Female,Yes,Yes,4,1,14,0,161,4
4,12,26,Female,Yes,Yes,4,1,4,0,17,1
4,13,26,Female,Yes,Yes,4,1,1,0,12,1
4,14,26,Female,Yes,Yes,4,0,18,0,170,4
6,1,30,Male,Yes,Yes,2,1,27,3,52,1
6,2,30,Male,Yes,Yes,2,1,9,2,25,1
6,3,30,Male,Yes,Yes,2,0,39,2,98,1
6,4,30,Male,Yes,Yes,2,1,1,1,8,1
6,5,30,Male,Yes,Yes,2,1,5,2,18,1
6,6,30,Male,Yes,Yes,2,0,81,2,97,2
6,7,30,Male,Yes,Yes,2,0,45,2,80,2
6,8,30,Male,Yes,Yes,2,1,7,2,23,1
6,9,30,Male,Yes,Yes,2,1,3,1,11,1
6,10,30,Male,Yes,Yes,2,1,2,1,12,1
6,11,30,Male,Yes,Yes,2,1,1,1,8,1
6,12,30,Male,Yes,Yes,2,1,4,1,6,1
6,13,30,Male,Yes,Yes,2,1,3,2,16,1
6,14,30,Male,Yes,Yes,2,1,8,1,19,1
7,1,13,Female,Yes,Yes,4,0,6,1,39,2
7,2,13,Female,Yes,Yes,4,1,2,0,21,3
7,3,13,Female,Yes,Yes,4,1,1,0,3,1
7,4,13,Female,Yes,Yes,4,1,3,1,74,1
7,5,13,Female,Yes,Yes,4,1,3,0,5,1
7,6,13,Female,Yes,Yes,4,1,0,0,33,1
7,7,13,Female,Yes,Yes,4,1,0,0,1,1
